C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_329.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_329.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_329.jpg,0,0,0,7.78E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_431.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_431.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_431.jpg,0,0,0,8.00E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_531.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_531.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_531.jpg,0,0,0,7.80E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_634.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_634.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_634.jpg,0,0,0,8.20E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_735.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_735.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_735.jpg,0,0,0,7.79E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_835.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_835.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_835.jpg,0,0,0,8.09E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_33_938.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_33_938.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_33_938.jpg,0,0,0,7.91E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_34_041.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_34_041.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_34_041.jpg,0,0,0,7.82E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_34_143.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_34_143.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_34_143.jpg,0,0,0,7.83E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_34_246.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_34_246.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_34_246.jpg,0,0,0,7.99E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_34_350.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_34_350.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_34_350.jpg,0,0,0,7.86E-05
C:\Users\Hello\Downloads\DATA\IMG\center_2021_11_17_12_12_34_456.jpg, C:\Users\Hello\Downloads\DATA\IMG\left_2021_11_17_12_12_34_456.jpg, C:\Users\Hello\Downloads\DATA\IMG\right_2021_11_17_12_12_34_456.jpg,0,0.1892352,0,0.1017869
